H,1,24-022462,10022025,,00000000,,1,,10022025,SELF,,10022025,35-ANDAMAN AND,0,0,,0,,,,,,,,,S,,BXAJ,,YEELO HOMOEOPATHY,8478019973,,N 0.00 0.00 0 0.00 0   0.00#  0.00R0:0:0          YY1T  62893.68CAN  113995.00#Y  0Y  42751.32 1N MZ 105645.00      0.00      0.00      0.00N     0.00      0.00      0.00,ZYNYNGAYLN1N1INN1M,M ,2,SHOP.NO.03 BERKA ROAD DHUNELA SOHNA GURUGARM,,,0,0,,                    ,,,,,,,,,<MARGERP FORMAT>
T,047,DR.WILLMAR SCHWABE (GERMANY),002660,,20ML Q WSI GERMEN,,,305.00,00000000,,,5,0,305,,305,,0,,5,0,36,595.46,4.76,929.54,46.48,0,0,G,,                    ,,,,,,MARG1021406,30039014,20ML Q WSI GERMEN,,0,0,0,0,,            E MY N #     305.00M1        0ALN,,,,
T,072,ALLEN,006259,,A90 OVARIAN CYSTS,,,A002OC,01072029,,,12,0,200,,200,,0,,3,0,55,358.92,10.71,241.08,28.93,0,0,G,,                    ,,,,,,MARG1042955,30049014,A90 OVARIAN CYSTS,,0,0,0,0,,            E MY N #     200.00M1        0ALN,,,,
T,007,SBL,A01957,,ACID NIT 30 100ML SBL,,,41/11,00000000,,,5,0,200,,200,,0,,2,0,60,247.62,4.76,152.38,7.62,0,0,G,,                    ,,,,,,MARG1051018,30039014,ACID NIT 30 100ML SBL,,0,0,0,0,,            E MY N #     200.00M1        0ALN,,,,
T,007,SBL,A00762,,ACID PHOS 30 100 ML SBL,,,44/13,00000000,,,5,0,200,,200,,0,,3,0,60,371.42,4.76,228.58,11.43,0,0,G,,                    ,,,,,,MARG1048428,30039014,ACID PHOS 30 100 ML SBL,,0,0,0,0,,            E MY N #     200.00M1        0ALN,,,,
T,007,SBL,0001990,,ACID PIC 30 100 ml  SBL,,,72\2,00000000,,,5,0,200,,200,,0,,2,0,60,247.62,4.76,152.38,7.62,0,0,G,,                    ,,,,,,MARG7016,30049014,ACID PIC 30 100 ml  SBL,,0,0,0,0,,            E MY N #     200.00M1        0ALN,,,,
T,007,SBL,006439,,ACONITE NAP 30 30ML,,,C,00000000,,,5,0,105,,105,,0,,5,0,60,325,4.76,200,10,0,0,G,,                    ,,,,,,MARG1043262,30049014,ACONITE NAP 30 30ML,,0,105,0,0,,            E MY N #     105.00M1        0ALN,,,,
T,007,SBL,304186,,ACONITE NAP 1M 30ML SBL,,,39/N/21,00000000,,,5,0,150,,150,,0,,2,0,60,185.71,4.76,114.29,5.71,0,0,G,,                    ,,,,,,MARG1055829,30039014,ACONITE NAP 1M 30ML SBL,,0,0,0,0,,            E MY N #     150.00M1        0ALN,,,,
T,007,SBL, 002338,,ACONITE NAP 200 30ML,,,C,00000000,,,5,0,115,,115,,0,,5,0,60,355.95,4.76,219.05,10.95,0,0,G,,                    ,,,,,,MARG1073351,30049014,ACONITE NAP 200 30ML,,0,0,0,0,,            E MY N #     115.00M1        0ALN,,,,
T,*,ADEL,0000402,,AD MOTHER TINC.(H.P.) 20ML,,,410.00,00000000,,,5,0,410,,410,,0,,3,0,42,550.56,4.76,679.44,33.97,0,0,G,,                    ,,,,,,MARG1011263,30049014,AD MOTHER TINC.(H.P.) 20ML,,200,0,0,0,,            E MY N #     410.00M1        0ALN,,,,
T,007,SBL,002123,,AETHUSA CY 200 100ML SBL,,,72\13,00000000,,,5,0,205,,205,,0,,2,0,60,253.81,4.76,156.19,7.81,0,0,G,,                    ,,,,,,MARG1051252,30039014,AETHUSA CY 200 100ML SBL,,0,0,0,0,,            E MY N #     205.00M1        0ALN,,,,
