H,1,GC12934,12112025,,00000000,,1,,12112025,,,12112025,06-HARYANA,0,0,,0,KASHIM,,,,,,,,S,,BVEV,,YEELO HOMOEOPATHY GURGAON,8527672265,06BUAPG3815Q1ZH,N 0.00 0.00 0 0.00 0   0.00#  0.00S0:0:0          NN1T  77902.13CAN  161202.37#Y  0Y  61447.87  N MZ 139350.00      0.00      0.00      0.00N     0.00      0.00      0.00,ZYNYNGAYPN1N1INN1M,M ,2,SHOP NO 3 KHEWAT NO.213 KHATONI NO 215,BERKA ROAD SHIV MANDIR DHUNELA SOHNA,GURUGRAM,0,0,,,,,,,,,,,<MARGERP FORMAT>
T,A049,MEDISYNTH,OO9105,,RINGOMENT CREAM,25GM,,14,00000000,,,5,0,103,,103,,0,,48,0,55,2825.1,4.76,2118.9,105.95,0,0,G,,,,,,,,MARG1121375,30049014,RINGOMENT CREAM,25GM,0,0,0,0,,        0.00E MY N #     103.00M1        0APN,,,,
T,A030,HAPDCO,0005203,,SARSA PLUS SYRUP,150ML,,829,00000000,,,5,0,127,,126.56,,0,,12,0,54,856.33,4.76,667.67,33.38,0,0,G,,,,,,,,MARG1079075,30049014,SARSA PLUS SYRUP,150ML,0,0,0,0,,        0.00E MY N #     126.56M1        0APN,,,,
T,OIC,SBL (POMADE),0004781,,FUNGINIL CREAM,25GM,,JO250432,00000000,,,5,0,80,,79.69,,0,,12,0,60,594.28,4.76,365.72,18.29,0,0,G,,,,,,,,MARG1127571,30049014,FUNGINIL CREAM,25GM,0,0,0,0,,        0.00E MY N #      79.69M1        0APN,,,,
T,OID,SBL (BIO.COM.),0001257,,BIO.COM  6 (25GM),25GM,,HT250918,00000000,,,5,0,120,,120,,0,,24,0,67,1974.84,4.76,905.16,45.26,0,0,G,,,,,,,,MARG1257,30049015,BIO.COM  6 (25GM),25GM,0,0,0,0,,        0.00E MY N #     120.00M1        0APN,,,,
T,OHX,W S I  (BIO CHEMIC.),OO2987,,WSI- BIO COM  6,20GMS,,860357,00000000,,,5,0,120,,120,,0,,12,0,57,850.27,4.76,589.73,29.49,0,0,G,,,,,,,,MARG1035748,30049015,WSI- BIO COM  6,20GMS,0,0,0,0,,        0.00E MY N #     120.00M1        0APN,,,,
T,OHK,W S I  (PATENT),0002368,,TOPI BERBRIES,25GM,,888886,00000000,,,5,0,90,,90,,0,,12,0,52,586.28,4.76,493.72,24.69,0,0,G,,,,,,,,MARG2368,30049014,TOPI BERBRIES,25GM,0,0,0,0,,        0.00E MY N #      90.00M1        0APN,,,,
T,OIC,SBL (POMADE),0001786,,PETROLEUM OINTMENT,25GM,,JO250382,00000000,,,5,0,80,,80,,0,,12,0,60,594.28,4.76,365.72,18.29,0,0,G,,,,,,,,MARG1786,30049014,PETROLEUM OINTMENT,25GM,0,0,0,0,,        0.00E MY N #      80.00M1        0APN,,,,
T,A030,HAPDCO,0002507,,DERMEX OINTMENT,20GM,,413,00000000,,,5,0,94,,93.75,,0,,12,0,54,633.82,4.76,494.18,24.71,0,0,G,,,,,,,,MARG2507,30049014,DERMEX OINTMENT,20GM,0,0,0,0,,        0.00E MY N #      93.75M1        0APN,,,,
T,A04,ADVEN BIOTECH,0001948,,TESTONE FORTE,30ML,,AS413,00000000,,,5,0,562,,561.56,,0,,3,0,56,979.47,4.76,706.53,35.33,0,0,G,,,,,,,,MARG1948,30049014,TESTONE FORTE,30ML,0,0,0,0,,        0.00E MY N #     561.56M1        0APN,,,,
T,A050,SBL (PATENT),0004427,,STOBAL LOZENGES PACK OF 80,,,L4001,00000000,,,5,0,188,,188,,0,,1,0,40,80.57,4.76,107.43,5.37,0,0,G,,,,,,,,MARG1032319,30049011,STOBAL LOZENGES PACK OF 80,,0,0,0,0,,        0.00E MY N #     188.00M1        0APN,,,,
